26,"bheltzel","Untitled","Knuckle Puck",2020-05-01,medium_term
27,"bheltzel","Disdain","Knuckle Puck",2020-05-01,medium_term
28,"bheltzel","The Stable Song","Gregory Alan Isakov",2020-05-01,medium_term
29,"bheltzel","Double Helix","Knuckle Puck",2020-05-01,medium_term
30,"bheltzel","Robin Williams","Noah Gundersen",2020-05-01,medium_term
31,"bheltzel","Skipping Stone","Elder Brother",2020-05-01,medium_term
32,"bheltzel","Daylily","Movements",2020-05-01,medium_term
33,"bheltzel","Bad Weather","Blis",2020-05-01,medium_term
34,"bheltzel","Mrs. Carver","Fever Dolls",2020-05-01,medium_term
35,"bheltzel","Nervous Passenger","Knuckle Puck",2020-05-01,medium_term
36,"bheltzel","731","Belmont",2020-05-01,medium_term
37,"bheltzel","Overstepping","Belmont",2020-05-01,medium_term
38,"bheltzel","All That and More (Sailboat)","Rainbow Kitten Surprise",2020-05-01,medium_term
39,"bheltzel","End","Frank Ocean",2020-05-01,medium_term
40,"bheltzel","Tune You Out","Knuckle Puck",2020-05-01,medium_term
41,"bheltzel","On My Way","Grace Potter",2020-05-01,medium_term
42,"bheltzel","For the World","Man Overboard",2020-05-01,medium_term
43,"bheltzel","Dead Weight","PVRIS",2020-05-01,medium_term
44,"bheltzel","Everyday Love","Grace Potter",2020-05-01,medium_term
45,"bheltzel","Ain't Gonna Lose You (Acoustic)","Brett Dennen",2020-05-01,medium_term
46,"bheltzel","My Backwards Walk - from Tiny Changes: A Celebration of Frightened Rabbit's 'The Midnight Organ Fight'","Manchester Orchestra",2020-05-01,medium_term
47,"bheltzel","Hey, Ma","Bon Iver",2020-05-01,medium_term
48,"bheltzel","Generation Loss","Spanish Love Songs",2020-05-01,medium_term
49,"bheltzel","Motion Sickness","Phoebe Bridgers",2020-05-01,medium_term
0,"bheltzel","Rain at Dawn","Chill Bees",2020-05-01,long_term
1,"bheltzel","Small Talk","The Story So Far",2020-05-01,long_term
2,"bheltzel","There, There","The Wonder Years",2020-05-01,long_term
3,"bheltzel","Love Your Friends, Die Laughing","Man Overboard",2020-05-01,long_term
4,"bheltzel","Empty Space","The Story So Far",2020-05-01,long_term
5,"bheltzel","Face Value","The Story So Far",2020-05-01,long_term
6,"bheltzel","Direction","Mat Kerekes",2020-05-01,long_term
7,"bheltzel","Things I Can't Change","The Story So Far",2020-05-01,long_term
8,"bheltzel","A Part of Me (ft. Laura Whiteside)","Neck Deep",2020-05-01,long_term
9,"bheltzel","The Season","All Get Out",2020-05-01,long_term
10,"bheltzel","City of Ocala","A Day To Remember",2020-05-01,long_term
11,"bheltzel","December","Neck Deep",2020-05-01,long_term
12,"bheltzel","The Beast","Cataldo",2020-05-01,long_term
13,"bheltzel","You Won't Know","Brand New",2020-05-01,long_term
14,"bheltzel","Framework","The Story So Far",2020-05-01,long_term
15,"bheltzel","Top Notch","Manchester Orchestra",2020-05-01,long_term
16,"bheltzel","Dull","Microwave",2020-05-01,long_term
17,"bheltzel","Dirty Paws","Of Monsters and Men",2020-05-01,long_term
18,"bheltzel","Chemicals","Tigers Jaw",2020-05-01,long_term
19,"bheltzel","Old Friends","Pinegrove",2020-05-01,long_term
20,"bheltzel","Untitled","Knuckle Puck",2020-05-01,long_term
21,"bheltzel","Family First","Woe, Is Me",2020-05-01,long_term
22,"bheltzel","XO","John Mayer",2020-05-01,long_term
23,"bheltzel","Me And My Lovers","All Get Out",2020-05-01,long_term
24,"bheltzel","I'm Already Gone","A Day To Remember",2020-05-01,long_term
25,"bheltzel","I Can Feel a Hot One","Manchester Orchestra",2020-05-01,long_term
26,"bheltzel","Plane vs. Tank vs. Submarine","Tigers Jaw",2020-05-01,long_term
27,"bheltzel","Clairvoyant","The Story So Far",2020-05-01,long_term
28,"bheltzel","Artificial Light","Typhoon",2020-05-01,long_term
29,"bheltzel","Mine","Third Eye Blind",2020-05-01,long_term
30,"bheltzel","Wall to Wall (Depreciation)","Knuckle Puck",2020-05-01,long_term
31,"bheltzel","Dust","Little May",2020-05-01,long_term
32,"bheltzel","Counted Lost","Friendly Savages",2020-05-01,long_term
33,"bheltzel","Georgia On My Mind","Microwave",2020-05-01,long_term
34,"bheltzel","Hooligans","Issues",2020-05-01,long_term
35,"bheltzel","Neighbors","Microwave",2020-05-01,long_term
36,"bheltzel","Evergreen","Knuckle Puck",2020-05-01,long_term
37,"bheltzel","Nerve","The Story So Far",2020-05-01,long_term
38,"bheltzel","Elephant","Jason Isbell",2020-05-01,long_term
39,"bheltzel","Broken Horse","Freelance Whales",2020-05-01,long_term
40,"bheltzel","Cover Me Up","Jason Isbell",2020-05-01,long_term
41,"bheltzel","Slow Motion (Live)","Third Eye Blind",2020-05-01,long_term
42,"bheltzel","Take Me as You Please","The Story So Far",2020-05-01,long_term
43,"bheltzel","Sometimes You're the Hammer, Sometimes You're the Nail","A Day To Remember",2020-05-01,long_term
44,"bheltzel","Red Hands","The Dear Hunter",2020-05-01,long_term
45,"bheltzel","Young Fathers","Typhoon",2020-05-01,long_term
46,"bheltzel","Hero","Family of the Year",2020-05-01,long_term
47,"bheltzel","Placeholder","The Story So Far",2020-05-01,long_term
48,"bheltzel","True Contrite","Knuckle Puck",2020-05-01,long_term
49,"bheltzel","Never Saw It Coming","Tigers Jaw",2020-05-01,long_term
